icao24,origin_country,velocity,geo_altitude
a01c37,United States,False,
a50adc,United States,False,
8a05ee,Indonesia,False,
a4ead9,United States,False,
a4eacb,United States,True,
ab4ea1,United States,False,
8007b0,India,False,
a75f15,United States,False,
ab4ea8,United States,True,
a333ae,United States,False,
8007b3,India,False,
a466c7,United States,False,
a213c1,United States,False,
a6d17c,United States,False,
896534,United Arab Emirates,False,
a3a9ff,United States,False,
896537,United Arab Emirates,False,
683324,Kazakhstan,False,
ab083b,United States,False,
a37c1c,United States,False,
ab4ec6,United States,True,
781cb8,China,False,
a9dace,United States,False,
a26f5e,United States,True,
4bb199,Turkey,False,
781caa,China,False,
ab4ed0,United States,False,
ac2836,United States,False,
a62c1a,United States,False,
a9daf0,United States,False,
4bb18a,Turkey,False,
a5e9f4,United States,False,
a63f4e,United States,False,
02005a,Morocco,False,
4067a3,United Kingdom,False,
7c7770,Australia,True,
781ce6,China,False,
c00154,Canada,False,
a25c7b,United States,False,
ab4eeb,United States,False,
68332b,Kazakhstan,False,
a5e9a1,United States,False,
a3df1e,United States,False,
a25c6e,United States,True,
ac287c,United States,False,
8007cd,India,False,
a4c9d5,United States,False,
abe212,United States,False,
a190cf,United States,False,
89647a,United Arab Emirates,False,
89647e,United Arab Emirates,False,
a8bc34,United States,False,
abf3b8,United States,False,
89648a,United Arab Emirates,False,
0082b7,South Africa,True,
a9dc0b,United States,False,
a560f3,United States,False,
a0851b,United States,False,
ac00b1,United States,False,
ad33d6,United States,True,
7c75fd,Australia,False,
896473,United Arab Emirates,False,
896475,United Arab Emirates,False,
a8cf3a,United States,False,
a440c0,United States,False,
896481,United Arab Emirates,False,
896488,United Arab Emirates,False,
896486,United Arab Emirates,False,
484f72,Kingdom of the Netherlands,False,
7c7701,Australia,False,
40688c,United Kingdom,False,
40688b,United Kingdom,False,
abe0bb,United States,False,
896454,United Arab Emirates,True,
a50c4b,United States,False,
020095,Morocco,False,
896465,United Arab Emirates,False,
a01be9,United States,False,
896463,United Arab Emirates,False,
c01401,Canada,True,
a0988b,United States,False,
a87f51,United States,False,
a0852c,United States,False,
a6e3b0,United States,False,
a74c35,United States,False,
a573ec,United States,False,
896439,United Arab Emirates,False,
781da5,China,False,
896441,United Arab Emirates,False,
a99f0d,United States,True,
75010a,Malaysia,False,
781e1f,China,False,
ab4f21,United States,False,
780b09,China,False,
a0c238,United States,False,
8963a1,United Arab Emirates,False,
